task,agent,seed,simple_regret,campaign_cash,cumulative_regret,churn,gain,backslide,wasted_fraction,wasted_rounds,committed_rounds,validity_rate,n_designs,n_valid,unit_days_used,parallel_utilisation,n_rejections
T2,prior_anchored,4,0.009613509192471253,297.85859104106663,352.15368601102597,1.0,0.0,0.0022934731979880607,1.0,1,1,0.0,2,0,5040,1.0,0
T2,prior_anchored,5,0.04346675093181647,162.74867684853734,496.1947020315739,1.0,0.0,0.028556741603614197,1.0,1,1,0.0,2,0,4830,0.9583333333333334,0
T2,prior_anchored,6,0.04357518920037096,-83.28536309663923,632.5964023417469,0.0,0.006861040522720532,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,prior_anchored,7,0.03355370318963741,-205.12512918394498,527.7657394935613,0.0,0.04030818176670882,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,prior_anchored,8,0.05668552371881072,-159.08607737973503,555.3510260571225,0.0,0.013282281165863843,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,prior_anchored,9,0.057072370102791654,-133.95561780474185,597.6123375884831,0.0,0.006026010459205672,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,prior_anchored,10,0.08387531673983702,-223.95987238308336,723.3029930552866,0.0,0.0652994743903203,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,prior_anchored,11,0.014657214294799659,64.29252515446018,447.23681849337197,nan,0.0,0.0,1.0,1,1,0.0,2,0,5040,1.0,0
T2,prior_anchored,12,0.032807496562032135,226.97589308635727,422.9092563802414,0.0,0.00834178465367133,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,prior_anchored,13,0.02942191442899967,-47.49766627403669,455.8389019101901,1.0,0.0,0.015180264041295612,1.0,1,1,0.0,2,0,4830,0.9583333333333334,0
T2,prior_anchored,14,0.040666635873727125,-205.3342658959762,500.1924003996169,0.0,0.018462843391881603,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,prior_anchored,15,0.0064838225580458875,-138.65136550862957,545.6236743631995,0.0,0.07356351013004865,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,prior_anchored,16,0.03037694346767581,-52.319946120336084,459.2618091678448,0.0,0.03928237660935804,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,prior_anchored,17,0.023441509844465733,104.73282004350155,378.5597736812219,0.0,0.02073108068343109,0.0,0.0,0,1,0.0,2,0,4830,0.9583333333333334,0
T2,prior_anchored,18,0.044554719768211876,-36.02266055825953,633.3313299700055,0.0,0.016012612614685652,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,prior_anchored,19,0.01097623457024216,-73.917711370365,571.4895467626199,0.0,0.05839219116942135,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,classical_doe,0,0.07215006364991039,-302.70738417243473,936.7586005357359,0.0,0.012229979785674416,0.0,0.0,0,1,0.0,2,0,5040,1.0,1
T2,classical_doe,1,0.03914557447123039,212.01653115224994,320.7055537317085,0.0,0.01979195892437907,0.0,0.0,0,1,0.0,2,0,5040,1.0,1
T2,classical_doe,2,0.03356936513985738,62.27677730922873,451.9576744714317,0.0,0.0007816363621644534,0.0,1.0,1,1,0.0,2,0,5040,1.0,1
T2,classical_doe,3,0.08059174754023883,112.24880777295724,261.49393756103905,1.0,0.0,0.02177867879342863,1.0,1,1,0.0,2,0,5040,1.0,1
T2,classical_doe,4,0.030633046924905274,366.1259727856768,290.91403877205516,0.0,0.021889501210263257,0.0,0.0,0,1,0.0,2,0,5040,1.0,1
T2,classical_doe,5,0.10116383749431097,-54.50537625988611,719.317078813039,1.0,0.0,0.044297814192912274,1.0,1,1,0.0,2,0,5040,1.0,1
T2,classical_doe,6,0.04559471979921506,152.6936092772462,358.98455367079976,0.0,0.00359607706629448,0.0,0.0,0,1,0.0,2,0,5040,1.0,1
T2,classical_doe,7,0.09102039125386353,-78.53531064041594,403.5165377503045,1.0,0.0,0.012006733123235358,1.0,1,1,0.0,2,0,5040,1.0,1
T2,classical_doe,8,0.03796039183332297,-2.311920407537393,366.497054328012,1.0,0.0,0.0018036583868985129,1.0,1,1,0.0,2,0,5040,1.0,1
T2,classical_doe,9,0.021524722433349658,-188.3636554968267,619.3342832268913,0.0,0.14683994772209186,0.0,0.0,0,1,0.0,2,0,5040,1.0,1
T2,classical_doe,10,0.07345574475127514,-183.53924439732398,657.7209936103125,0.0,0.0019178237120003189,0.0,1.0,1,1,0.0,2,0,5040,1.0,1
T2,classical_doe,11,0.07452123671110283,-28.63044620768521,537.9933296746835,1.0,0.0,0.007651464980232267,1.0,1,1,0.0,2,0,5040,1.0,1
T2,classical_doe,12,0.05474951319986633,101.06836488491373,542.3489576271045,0.0,0.011810361637247593,0.0,0.0,0,1,0.0,2,0,5040,1.0,1
T2,classical_doe,13,0.08822272926768376,87.38449332520561,355.5901215368301,1.0,0.0,0.0410616365039208,1.0,1,1,0.0,2,0,5040,1.0,1
T2,classical_doe,14,0.033154477316259326,-48.722806626158764,333.12466833420933,nan,0.0,0.0,1.0,1,1,0.0,2,0,5040,1.0,1
T2,classical_doe,15,0.04851634568300738,137.58964287393945,295.7047675900459,1.0,0.0,0.009170962424933767,1.0,1,1,0.0,2,0,5040,1.0,1
T2,classical_doe,16,0.07004919147295395,104.41917983956304,291.4421047112602,1.0,0.0,0.018362208283033282,1.0,1,1,0.0,2,0,5040,1.0,1
T2,classical_doe,17,0.08769236224304265,151.19799276913207,392.03742634472144,1.0,0.0,0.023921162508507232,1.0,1,1,0.0,2,0,5040,1.0,1
T2,classical_doe,18,0.02841881223166233,12.059760169731087,561.6135458181818,0.0,0.07660663752268766,0.0,0.0,0,1,0.0,2,0,5040,1.0,1
T2,classical_doe,19,0.10431659124438315,-94.9682114886654,576.6438430313191,1.0,0.0,0.026600236350279374,1.0,1,1,0.0,2,0,5040,1.0,1
